Symbol	GeneId	Molecular Function	Biological Process	Cellular Component	Category
CD8A	925	GO:0005515;protein binding|GO:0015026;coreceptor activity|GO:0023024;MHC class I protein complex binding|GO:0042288;MHC class I protein binding	GO:0002456;T cell mediated immunity|GO:0006955;immune response|GO:0007166;cell surface receptor signaling pathway|GO:0007169;transmembrane receptor protein tyrosine kinase signaling pathway|GO:0019882;antigen processing and presentation|GO:0042110;T cell activation|GO:0045065;cytotoxic T cell differentiation|GO:0050776;regulation of immune response	GO:0005576;extracellular region|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0009897;external side of plasma membrane|GO:0042101;T cell receptor complex|GO:0044853;plasma membrane raft	Process
CD8B	926	GO:0005515;protein binding|GO:0015026;coreceptor activity|GO:0042288;MHC class I protein binding	GO:0002250;adaptive immune response|GO:0006955;immune response|GO:0007169;transmembrane receptor protein tyrosine kinase signaling pathway|GO:0042110;T cell activation|GO:0050690;regulation of defense response to virus by virus|GO:0050776;regulation of immune response	GO:0005576;extracellular region|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009986;cell surface|GO:0031901;early endosome membrane|GO:0042101;T cell receptor complex	Process
CD74	972	GO:0001540;amyloid-beta binding|GO:0004896;cytokine receptor activity|GO:0004896;cytokine receptor activity|GO:0005515;protein binding|GO:0019955;cytokine binding|GO:0023026;MHC class II protein complex binding|GO:0035718;macrophage migration inhibitory factor binding|GO:0035718;macrophage migration inhibitory factor binding|GO:0042289;MHC class II protein binding|GO:0042289;MHC class II protein binding|GO:0042289;MHC class II protein binding|GO:0042609;CD4 receptor binding|GO:0042658;MHC class II protein binding, via antigen binding groove|GO:0042802;identical protein binding|GO:0044183;protein binding involved in protein folding|GO:0050998;nitric-oxide synthase binding	GO:0000187;activation of MAPK activity|GO:0001516;prostaglandin biosynthetic process|GO:0001934;positive regulation of protein phosphorylation|GO:0001961;positive regulation of cytokine-mediated signaling pathway|GO:0001961;positive regulation of cytokine-mediated signaling pathway|GO:0002286;T cell activation involved in immune response|GO:0002606;positive regulation of dendritic cell antigen processing and presentation|GO:0002792;negative regulation of peptide secretion|GO:0002830;positive regulation of type 2 immune response|GO:0002906;negative regulation of mature B cell apoptotic process|GO:0006886;intracellular protein transport|GO:0006952;defense response|GO:0008283;cell proliferation|GO:0010628;positive regulation of gene expression|GO:0016064;immunoglobulin mediated immune response|GO:0019882;antigen processing and presentation|GO:0019883;antigen processing and presentation of endogenous antigen|GO:0019886;antigen processing and presentation of exogenous peptide antigen via MHC class II|GO:0030336;negative regulation of cell migration|GO:0030890;positive regulation of B cell proliferation|GO:0031394;positive regulation of prostaglandin biosynthetic process|GO:0033674;positive regulation of kinase activity|GO:0033674;positive regulation of kinase activity|GO:0035691;macrophage migration inhibitory factor signaling pathway|GO:0043030;regulation of macrophage activation|GO:0043066;negative regulation of apoptotic process|GO:0043123;positive regulation of I-kappaB kinase/NF-kappaB signaling|GO:0043410;positive regulation of MAPK cascade|GO:0043518;negative regulation of DNA damage response, signal transduction by p53 class mediator|GO:0043518;negative regulation of DNA damage response, signal transduction by p53 class mediator|GO:0045058;T cell selection|GO:0045059;positive thymic T cell selection|GO:0045060;negative thymic T cell selection|GO:0045080;positive regulation of chemokine biosynthetic process|GO:0045410;positive regulation of interleukin-6 biosynthetic process|GO:0045416;positive regulation of interleukin-8 biosynthetic process|GO:0045581;negative regulation of T cell differentiation|GO:0045582;positive regulation of T cell differentiation|GO:0045657;positive regulation of monocyte differentiation|GO:0045893;positive regulation of transcription, DNA-templated|GO:0046598;positive regulation of viral entry into host cell|GO:0048146;positive regulation of fibroblast proliferation|GO:0050731;positive regulation of peptidyl-tyrosine phosphorylation|GO:0050731;positive regulation of peptidyl-tyrosine phosphorylation|GO:0050900;leukocyte migration|GO:0051085;chaperone cofactor-dependent protein refolding|GO:0060907;positive regulation of macrophage cytokine production|GO:0060907;positive regulation of macrophage cytokine production|GO:0065003;protein-containing complex assembly|GO:0070206;protein trimerization|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0090023;positive regulation of neutrophil chemotaxis|GO:1902166;negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator|GO:1902166;negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator|GO:2000343;positive regulation of chemokine (C-X-C motif) ligand 2 production|GO:2000448;positive regulation of macrophage migration inhibitory factor signaling pathway	GO:0000139;Golgi membrane|GO:0005634;nucleus|GO:0005737;cytoplasm|GO:0005737;cytoplasm|GO:0005765;lysosomal membrane|GO:0005771;multivesicular body|GO:0005773;vacuole|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0009897;external side of plasma membrane|GO:0009986;cell surface|GO:0009986;cell surface|GO:0012507;ER to Golgi transport vesicle membrane|GO:0016020;membrane|GO:0016021;integral component of membrane|GO:0030658;transport vesicle membrane|GO:0030666;endocytic vesicle membrane|GO:0030669;clathrin-coated endocytic vesicle membrane|GO:0032588;trans-Golgi network membrane|GO:0032991;protein-containing complex|GO:0035692;macrophage migration inhibitory factor receptor complex|GO:0035693;NOS2-CD74 complex|GO:0042613;MHC class II protein complex|GO:0042613;MHC class II protein complex|GO:0043202;lysosomal lumen|GO:0070062;extracellular exosome|GO:0071556;integral component of lumenal side of endoplasmic reticulum membrane	Process
CREB1	1385	GO:0000978;RNA polymerase II proximal promoter sequence-specific DNA binding|GO:0000981;DNA-binding transcription factor activity, RNA polymerase II-specific|GO:0000981;DNA-binding transcription factor activity, RNA polymerase II-specific|GO:0000981;DNA-binding transcription factor activity, RNA polymerase II-specific|GO:0001102;RNA polymerase II activating transcription factor binding|GO:0001225;RNA polymerase II transcription coactivator binding|GO:0001228;DNA-binding transcription activator activity, RNA polymerase II-specific|GO:0001228;DNA-binding transcription activator activity, RNA polymerase II-specific|GO:0003700;DNA-binding transcription factor activity|GO:0003712;transcription coregulator activity|GO:0005515;protein binding|GO:0019899;enzyme binding|GO:0030544;Hsp70 protein binding|GO:0035035;histone acetyltransferase binding|GO:0035497;cAMP response element binding|GO:0042802;identical protein binding|GO:1990763;arrestin family protein binding	GO:0001666;response to hypoxia|GO:0006366;transcription by RNA polymerase II|GO:0006468;protein phosphorylation|GO:0007165;signal transduction|GO:0007179;transforming growth factor beta receptor signaling pathway|GO:0007409;axonogenesis|GO:0007568;aging|GO:0007595;lactation|GO:0007613;memory|GO:0007623;circadian rhythm|GO:0008361;regulation of cell size|GO:0008542;visual learning|GO:0010033;response to organic substance|GO:0010944;negative regulation of transcription by competitive promoter binding|GO:0014823;response to activity|GO:0016032;viral process|GO:0021983;pituitary gland development|GO:0032916;positive regulation of transforming growth factor beta3 production|GO:0033363;secretory granule organization|GO:0033762;response to glucagon|GO:0034670;chemotaxis to arachidonic acid|GO:0035094;response to nicotine|GO:0035729;cellular response to hepatocyte growth factor stimulus|GO:0036120;cellular response to platelet-derived growth factor stimulus|GO:0040018;positive regulation of multicellular organism growth|GO:0042752;regulation of circadian rhythm|GO:0043065;positive regulation of apoptotic process|GO:0045600;positive regulation of fat cell differentiation|GO:0045672;positive regulation of osteoclast differentiation|GO:0045893;positive regulation of transcription, DNA-templated|GO:0045899;positive regulation of RNA polymerase II transcriptional preinitiation complex assembly|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0046887;positive regulation of hormone secretion|GO:0046889;positive regulation of lipid biosynthetic process|GO:0048145;regulation of fibroblast proliferation|GO:0050821;protein stabilization|GO:0055025;positive regulation of cardiac muscle tissue development|GO:0060251;regulation of glial cell proliferation|GO:0060430;lung saccule development|GO:0060509;type I pneumocyte differentiation|GO:0071294;cellular response to zinc ion|GO:0071300;cellular response to retinoic acid|GO:0071398;cellular response to fatty acid|GO:1900273;positive regulation of long-term synaptic potentiation|GO:1901215;negative regulation of neuron death|GO:1902065;response to L-glutamate|GO:1990090;cellular response to nerve growth factor stimulus|GO:1990314;cellular response to insulin-like growth factor stimulus|GO:1990830;cellular response to leukemia inhibitory factor	GO:0000790;nuclear chromatin|GO:0005634;nucleus|GO:0005654;nucleoplasm|GO:0005654;nucleoplasm|GO:0005667;transcription factor complex|GO:0005719;nuclear euchromatin|GO:0005759;mitochondrial matrix|GO:0030424;axon|GO:1990589;ATF4-CREB1 transcription factor complex	Process
CTSB	1508	GO:0004197;cysteine-type endopeptidase activity|GO:0004197;cysteine-type endopeptidase activity|GO:0005515;protein binding|GO:0005518;collagen binding|GO:0008233;peptidase activity|GO:0008234;cysteine-type peptidase activity|GO:0043394;proteoglycan binding	GO:0002224;toll-like receptor signaling pathway|GO:0006508;proteolysis|GO:0006590;thyroid hormone generation|GO:0030574;collagen catabolic process|GO:0030574;collagen catabolic process|GO:0030855;epithelial cell differentiation|GO:0042981;regulation of apoptotic process|GO:0043312;neutrophil degranulation|GO:0046697;decidualization|GO:0046718;viral entry into host cell|GO:0050790;regulation of catalytic activity|GO:0051603;proteolysis involved in cellular protein catabolic process|GO:0051603;proteolysis involved in cellular protein catabolic process|GO:0097067;cellular response to thyroid hormone stimulus	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005622;intracellular|GO:0005730;nucleolus|GO:0005764;lysosome|GO:0005764;lysosome|GO:0009897;external side of plasma membrane|GO:0016324;apical plasma membrane|GO:0036021;endolysosome lumen|GO:0042470;melanosome|GO:0043231;intracellular membrane-bounded organelle|GO:0048471;perinuclear region of cytoplasm|GO:0062023;collagen-containing extracellular matrix|GO:0062023;collagen-containing extracellular matrix|GO:0070062;extracellular exosome|GO:1904813;ficolin-1-rich granule lumen	Component
CTSE	1510	GO:0004190;aspartic-type endopeptidase activity|GO:0008233;peptidase activity|GO:0042802;identical protein binding	GO:0006508;proteolysis|GO:0016540;protein autoprocessing|GO:0019886;antigen processing and presentation of exogenous peptide antigen via MHC class II	GO:0005768;endosome|GO:0005768;endosome	Function
CTSL	1514	GO:0001968;fibronectin binding|GO:0004197;cysteine-type endopeptidase activity|GO:0004197;cysteine-type endopeptidase activity|GO:0004197;cysteine-type endopeptidase activity|GO:0005515;protein binding|GO:0005518;collagen binding|GO:0008234;cysteine-type peptidase activity|GO:0042393;histone binding|GO:0043394;proteoglycan binding|GO:0097655;serpin family protein binding	GO:0002224;toll-like receptor signaling pathway|GO:0002250;adaptive immune response|GO:0006508;proteolysis|GO:0006955;immune response|GO:0019882;antigen processing and presentation|GO:0019886;antigen processing and presentation of exogenous peptide antigen via MHC class II|GO:0022617;extracellular matrix disassembly|GO:0030574;collagen catabolic process|GO:0030574;collagen catabolic process|GO:0045616;regulation of keratinocyte differentiation|GO:0051603;proteolysis involved in cellular protein catabolic process|GO:0051603;proteolysis involved in cellular protein catabolic process|GO:0071888;macrophage apoptotic process|GO:0097067;cellular response to thyroid hormone stimulus	GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005634;nucleus|GO:0005764;lysosome|GO:0005764;lysosome|GO:0005771;multivesicular body|GO:0005886;plasma membrane|GO:0016324;apical plasma membrane|GO:0036021;endolysosome lumen|GO:0043202;lysosomal lumen|GO:0062023;collagen-containing extracellular matrix|GO:0070062;extracellular exosome	Function
CTSS	1520	GO:0001968;fibronectin binding|GO:0004197;cysteine-type endopeptidase activity|GO:0004197;cysteine-type endopeptidase activity|GO:0004197;cysteine-type endopeptidase activity|GO:0005518;collagen binding|GO:0043236;laminin binding|GO:0043394;proteoglycan binding	GO:0002224;toll-like receptor signaling pathway|GO:0002250;adaptive immune response|GO:0006508;proteolysis|GO:0006955;immune response|GO:0010447;response to acidic pH|GO:0016485;protein processing|GO:0019882;antigen processing and presentation|GO:0019886;antigen processing and presentation of exogenous peptide antigen via MHC class II|GO:0022617;extracellular matrix disassembly|GO:0030574;collagen catabolic process|GO:0034769;basement membrane disassembly|GO:0043312;neutrophil degranulation|GO:0048002;antigen processing and presentation of peptide antigen|GO:0051603;proteolysis involved in cellular protein catabolic process|GO:0051603;proteolysis involved in cellular protein catabolic process|GO:0097067;cellular response to thyroid hormone stimulus|GO:2001259;positive regulation of cation channel activity	GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005764;lysosome|GO:0005764;lysosome|GO:0005770;late endosome|GO:0036021;endolysosome lumen|GO:0043202;lysosomal lumen|GO:0043231;intracellular membrane-bounded organelle|GO:0062023;collagen-containing extracellular matrix|GO:1904724;tertiary granule lumen|GO:1904813;ficolin-1-rich granule lumen	Process
FCER1G	2207	GO:0005515;protein binding|GO:0019767;IgE receptor activity|GO:0019863;IgE binding|GO:0019864;IgG binding|GO:0042802;identical protein binding	GO:0001798;positive regulation of type IIa hypersensitivity|GO:0001805;positive regulation of type III hypersensitivity|GO:0001812;positive regulation of type I hypersensitivity|GO:0002223;stimulatory C-type lectin receptor signaling pathway|GO:0002283;neutrophil activation involved in immune response|GO:0002292;T cell differentiation involved in immune response|GO:0002431;Fc receptor mediated stimulatory signaling pathway|GO:0002554;serotonin secretion by platelet|GO:0006911;phagocytosis, engulfment|GO:0007229;integrin-mediated signaling pathway|GO:0007596;blood coagulation|GO:0010543;regulation of platelet activation|GO:0016064;immunoglobulin mediated immune response|GO:0019886;antigen processing and presentation of exogenous peptide antigen via MHC class II|GO:0030168;platelet activation|GO:0030316;osteoclast differentiation|GO:0030593;neutrophil chemotaxis|GO:0031623;receptor internalization|GO:0032623;interleukin-2 production|GO:0032733;positive regulation of interleukin-10 production|GO:0032753;positive regulation of interleukin-4 production|GO:0032755;positive regulation of interleukin-6 production|GO:0032760;positive regulation of tumor necrosis factor production|GO:0032765;positive regulation of mast cell cytokine production|GO:0033026;negative regulation of mast cell apoptotic process|GO:0038094;Fc-gamma receptor signaling pathway|GO:0038095;Fc-epsilon receptor signaling pathway|GO:0038095;Fc-epsilon receptor signaling pathway|GO:0038156;interleukin-3-mediated signaling pathway|GO:0042590;antigen processing and presentation of exogenous peptide antigen via MHC class I|GO:0042742;defense response to bacterium|GO:0043306;positive regulation of mast cell degranulation|GO:0043312;neutrophil degranulation|GO:0045087;innate immune response|GO:0045576;mast cell activation|GO:0050766;positive regulation of phagocytosis|GO:0050900;leukocyte migration|GO:0071404;cellular response to low-density lipoprotein particle stimulus|GO:0072659;protein localization to plasma membrane|GO:2000010;positive regulation of protein localization to cell surface	GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0009986;cell surface|GO:0032998;Fc-epsilon receptor I complex|GO:0070821;tertiary granule membrane|GO:0101003;ficolin-1-rich granule membrane	Process
FCGRT	2217	GO:0019864;IgG binding|GO:0030881;beta-2-microglobulin binding|GO:0042605;peptide antigen binding	GO:0002416;IgG immunoglobulin transcytosis in epithelial cells mediated by FcRn immunoglobulin receptor|GO:0006955;immune response	GO:0005615;extracellular space|GO:0005886;plasma membrane|GO:0009897;external side of plasma membrane|GO:0010008;endosome membrane|GO:0016021;integral component of membrane	Function
PDIA3	2923	GO:0003723;RNA binding|GO:0003756;protein disulfide isomerase activity|GO:0004197;cysteine-type endopeptidase activity|GO:0004629;phospholipase C activity|GO:0005515;protein binding|GO:0015036;disulfide oxidoreductase activity|GO:0015037;peptide disulfide oxidoreductase activity|GO:0042802;identical protein binding	GO:0002474;antigen processing and presentation of peptide antigen via MHC class I|GO:0002479;antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent|GO:0006457;protein folding|GO:0006457;protein folding|GO:0006508;proteolysis|GO:0034975;protein folding in endoplasmic reticulum|GO:0034976;response to endoplasmic reticulum stress|GO:0045454;cell redox homeostasis|GO:0055114;oxidation-reduction process|GO:0098761;cellular response to interleukin-7|GO:2001238;positive regulation of extrinsic apoptotic signaling pathway	GO:0005615;extracellular space|GO:0005634;nucleus|GO:0005783;endoplasmic reticulum|GO:0005783;endoplasmic reticulum|GO:0005783;endoplasmic reticulum|GO:0005788;endoplasmic reticulum lumen|GO:0005925;focal adhesion|GO:0009986;cell surface|GO:0009986;cell surface|GO:0042470;melanosome|GO:0042824;MHC class I peptide loading complex|GO:0045335;phagocytic vesicle|GO:0055038;recycling endosome membrane|GO:0070062;extracellular exosome	Process
HFE	3077	GO:0005102;signaling receptor binding|GO:0005515;protein binding|GO:0030881;beta-2-microglobulin binding|GO:0039706;co-receptor binding|GO:0042605;peptide antigen binding|GO:0042605;peptide antigen binding|GO:1990459;transferrin receptor binding|GO:1990459;transferrin receptor binding	GO:0002474;antigen processing and presentation of peptide antigen via MHC class I|GO:0002626;negative regulation of T cell antigen processing and presentation|GO:0002725;negative regulation of T cell cytokine production|GO:0006879;cellular iron ion homeostasis|GO:0006953;acute-phase response|GO:0007565;female pregnancy|GO:0010039;response to iron ion|GO:0010106;cellular response to iron ion starvation|GO:0010628;positive regulation of gene expression|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0019882;antigen processing and presentation|GO:0030509;BMP signaling pathway|GO:0032092;positive regulation of protein binding|GO:0032435;negative regulation of proteasomal ubiquitin-dependent protein catabolic process|GO:0033572;transferrin transport|GO:0034756;regulation of iron ion transport|GO:0034756;regulation of iron ion transport|GO:0042446;hormone biosynthetic process|GO:0048260;positive regulation of receptor-mediated endocytosis|GO:0055072;iron ion homeostasis|GO:0055072;iron ion homeostasis|GO:0060586;multicellular organismal iron ion homeostasis|GO:0065003;protein-containing complex assembly|GO:0071281;cellular response to iron ion|GO:0090277;positive regulation of peptide hormone secretion|GO:0097421;liver regeneration|GO:0098711;iron ion import across plasma membrane|GO:1900121;negative regulation of receptor binding|GO:1900122;positive regulation of receptor binding|GO:1904283;negative regulation of antigen processing and presentation of endogenous peptide antigen via MHC class I|GO:1904434;positive regulation of ferrous iron binding|GO:1904437;positive regulation of transferrin receptor binding|GO:1990641;response to iron ion starvation|GO:2000008;regulation of protein localization to cell surface|GO:2000059;negative regulation of ubiquitin-dependent protein catabolic process|GO:2000272;negative regulation of signaling receptor activity|GO:2000273;positive regulation of signaling receptor activity|GO:2001186;negative regulation of CD8-positive, alpha-beta T cell activation	GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005654;nucleoplasm|GO:0005769;early endosome|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009897;external side of plasma membrane|GO:0009897;external side of plasma membrane|GO:0031410;cytoplasmic vesicle|GO:0042612;MHC class I protein complex|GO:0042612;MHC class I protein complex|GO:0045177;apical part of cell|GO:0045178;basal part of cell|GO:0048471;perinuclear region of cytoplasm|GO:0055037;recycling endosome|GO:1990357;terminal web|GO:1990712;HFE-transferrin receptor complex	Process
HLA-A	3105	GO:0003723;RNA binding|GO:0005102;signaling receptor binding|GO:0005515;protein binding|GO:0030881;beta-2-microglobulin binding|GO:0030881;beta-2-microglobulin binding|GO:0030881;beta-2-microglobulin binding|GO:0042605;peptide antigen binding|GO:0042605;peptide antigen binding|GO:0042608;T cell receptor binding|GO:0042610;CD8 receptor binding|GO:0046977;TAP binding|GO:0062061;TAP complex binding	GO:0001913;T cell mediated cytotoxicity|GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0002419;T cell mediated cytotoxicity directed against tumor cell target|GO:0002474;antigen processing and presentation of peptide antigen via MHC class I|GO:0002479;antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent|GO:0002480;antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent|GO:0002485;antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent|GO:0002486;antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent|GO:0002726;positive regulation of T cell cytokine production|GO:0006955;immune response|GO:0006955;immune response|GO:0016032;viral process|GO:0016045;detection of bacterium|GO:0016567;protein ubiquitination|GO:0019731;antibacterial humoral response|GO:0019885;antigen processing and presentation of endogenous peptide antigen via MHC class I|GO:0032729;positive regulation of interferon-gamma production|GO:0036037;CD8-positive, alpha-beta T cell activation|GO:0042270;protection from natural killer cell mediated cytotoxicity|GO:0042270;protection from natural killer cell mediated cytotoxicity|GO:0042590;antigen processing and presentation of exogenous peptide antigen via MHC class I|GO:0050776;regulation of immune response|GO:0050830;defense response to Gram-positive bacterium|GO:0050852;T cell receptor signaling pathway|GO:0060333;interferon-gamma-mediated signaling pathway|GO:0060337;type I interferon signaling pathway|GO:2000566;positive regulation of CD8-positive, alpha-beta T cell proliferation|GO:2000568;positive regulation of memory T cell activation|GO:2001187;positive regulation of CD8-positive, alpha-beta T cell activation	GO:0000139;Golgi membrane|GO:0005783;endoplasmic reticulum|GO:0005789;endoplasmic reticulum membrane|GO:0005794;Golgi apparatus|GO:0005797;Golgi medial cisterna|GO:0005886;plasma membrane|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009986;cell surface|GO:0012507;ER to Golgi transport vesicle membrane|GO:0016020;membrane|GO:0030670;phagocytic vesicle membrane|GO:0031901;early endosome membrane|GO:0042612;MHC class I protein complex|GO:0042824;MHC class I peptide loading complex|GO:0055038;recycling endosome membrane|GO:0070062;extracellular exosome|GO:0070971;endoplasmic reticulum exit site|GO:0071556;integral component of lumenal side of endoplasmic reticulum membrane	Process
HLA-B	3106	GO:0005102;signaling receptor binding|GO:0005515;protein binding|GO:0042605;peptide antigen binding|GO:0046977;TAP binding|GO:0046977;TAP binding|GO:0051087;chaperone binding	GO:0001916;positive regulation of T cell mediated cytotoxicity|GO:0002250;adaptive immune response|GO:0002474;antigen processing and presentation of peptide antigen via MHC class I|GO:0002479;antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent|GO:0002480;antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent|GO:0002486;antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent|GO:0002667;regulation of T cell anergy|GO:0006952;defense response|GO:0006955;immune response|GO:0006955;immune response|GO:0016032;viral process|GO:0016045;detection of bacterium|GO:0032655;regulation of interleukin-12 production|GO:0032675;regulation of interleukin-6 production|GO:0042270;protection from natural killer cell mediated cytotoxicity|GO:0043312;neutrophil degranulation|GO:0050776;regulation of immune response|GO:0060333;interferon-gamma-mediated signaling pathway|GO:0060337;type I interferon signaling pathway|GO:2001198;regulation of dendritic cell differentiation	GO:0000139;Golgi membrane|GO:0005783;endoplasmic reticulum|GO:0005794;Golgi apparatus|GO:0005886;plasma membrane|GO:0005887;integral component of plasma membrane|GO:0009986;cell surface|GO:0009986;cell surface|GO:0012507;ER to Golgi transport vesicle membrane|GO:0016020;membrane|GO:0016020;membrane|GO:0030667;secretory granule membrane|GO:0030670;phagocytic vesicle membrane|GO:0031901;early endosome membrane|GO:0042612;MHC class I protein complex|GO:0055038;recycling endosome membrane|GO:0070062;extracellular exosome|GO:0071556;integral component of lumenal side of endoplasmic reticulum membrane	Process
